t,p_total_kw,p_central_setpoint_kw,n_active,cluster_cap_kw,p_cons_ev_skoda,p_cons_ev_tesla,p_cons_ev_vw,p_mc_setpoint_ev_skoda,p_mc_setpoint_ev_tesla,p_mc_setpoint_ev_vw,p_charger_setpoint_ev_skoda,p_charger_setpoint_ev_tesla,p_charger_setpoint_ev_vw,rel_priority_ev_skoda,rel_priority_ev_tesla,rel_priority_ev_vw
10.9,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.0,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.100000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.200000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.3,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.4,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.5,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.600000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.700000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.8,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
11.9,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.0,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.100000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.200000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.3,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.4,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.5,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.600000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.700000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.8,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
12.9,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.0,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.100000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.200000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.3,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.4,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.5,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.600000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.700000000000001,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
13.8,11.085125168440815,20.0,1,0.0,11.085125168440815,0.0,0.0,11.085817988763843,0.0,0.0,11.085125168440815,0.0,0.0,1.0,,
